count;codanomal
4;Q02X
1;Q435
1;Q525
1;Q040Q042
3;Q054
1;Q664Q741Q743Q799
1;Q669Q699
1;Q019Q899
1;Q039Q369
3;Q378
2;Q742
1;Q174Q674
2;Q079
1;Q798
1;Q422
1;Q359Q380
1;Q790Q799Q909
1;Q369
1;Q279
1;Q174
2;Q173
1;Q300Q600
1;Q248Q899
1;Q375
49356;NA
1;Q794
1;Q795
1;Q246
2;Q828
1;Q355
1;Q178
1;Q741
1;Q019Q668Q710Q792
1;Q181
1;Q668Q743
23;Q909
1;Q563
1;Q799
1;Q539Q690
3;Q532
1;Q436
1;Q170Q699
2;Q529
1;Q039Q699Q709
1;Q749Q759
1;Q564Q897
1;Q070Q423Q560Q563Q648
1;Q041
1;Q000Q556
1;Q206
1;Q174Q359
1;Q339
23;Q669
1;Q218
1;Q189Q423
1;Q158Q301Q378Q668Q712
1;Q174Q423Q564Q722Q723
1;Q158Q174Q382
1;Q564
2;Q709
1;Q601
1;Q000Q749
2;Q042
2;Q758
1;Q712
1;Q677Q769
3;Q897
1;Q668Q669
2;Q688
1;Q361
5;Q380
1;Q059Q564Q899
2;Q898
1;Q213Q240Q792
5;Q039
2;Q674
1;Q059Q248
8;Q661
1;Q373
1;Q179Q681
2;Q790
9;Q690
1;Q054Q668
1;Q353
1;Q038Q070
1;Q683
2;Q701
2;Q359Q369
3;Q829
1;Q039Q059
2;Q792
1;Q132Q134Q714Q909
1;Q018
1;Q068
1;Q605
1;Q010Q379Q668
61;Q699
1;Q529Q669
1;Q678Q753Q872
1;Q700
2;Q748
1;Q541
5;Q749
1;Q447
2;Q270
1;Q189Q669
8;Q000
1;Q761
1;Q02XQ174
1;Q255Q338
7;Q059
2;Q560
1;Q664Q699
3;Q179
1;Q652
1;Q999
1;Q704
1;Q200
6;Q359
1;Q370
2;Q248
12;Q549
1;Q663
5;Q899
1;Q542
1;Q728
1;Q133
1;Q848
3;Q713
18;Q668
1;Q675
1;Q208
1;Q049Q647
1;Q159Q174
1;Q188
1;Q383Q870Q909
2;Q665
1;Q771Q774
1;Q640
1;Q174Q301Q668Q699Q748
5;Q249
1;Q273
1;Q039Q753
3;Q682
1;Q539Q540Q699Q709
1;Q729
14;Q379
1;Q183Q359Q668Q740Q899
1;Q300
1;Q249Q668
1;Q019
1;Q558
3;Q189
1;Q201Q206Q234
1;Q753
1;Q173Q185
1;Q809
1;Q179Q189Q386Q749
12;Q664
1;Q054Q748
2;D180
1;Q668Q681
1;Q174Q709Q758
1;Q675Q728Q795
10;Q793
1;Q039Q301Q359
1;Q606
1;Q201Q210Q254
5;Q660
1;Q769
1;Q039Q249Q774
2;Q531
1;Q530
1;Q552
1;Q423
1;Q211Q675Q740Q742Q793
5;Q681
1;Q669Q741
1;Q550
