count;codanomal
4;Q690
1;Q225Q250Q257
1;Q870
1;Q189Q668Q749
1;Q371
1;Q878
1;Q059Q668
1;Q381Q660
2;Q249Q909
1;Q018
1;Q359Q532Q690Q870
4;Q699
1;Q385
1;Q174Q748
200;Q381
2;Q369
1;Q174
1;Q749
4;Q748
1;Q447Q668Q678Q890
1;Q000Q897
4;Q000
15040;NA
1;Q374
1;Q795
2;Q179
2;Q359
1;Q039Q359Q383
1;Q039Q793Q875Q897
1;Q370
13;Q909
1;Q549
1;Q663
2;Q899
1;Q359Q668
1;Q386
12;Q668
1;Q675
1;Q668Q723
1;Q759
1;Q359Q751Q759
3;Q249
1;Q302
1;Q359Q381
1;Q059Q748
1;Q019
1;Q399Q423
1;Q753
1;Q169
2;Q664
2;Q564
3;Q793
1;Q660
1;Q170
1;Q369Q753
1;Q898
1;Q530
1;Q019Q039Q709
1;Q423
5;Q039
1;Q039Q539Q559
1;Q112Q359Q699Q748Q898
1;Q681
2;Q057
1;Q678Q793
1;Q213
1;Q661
