count;codanomal
4;D180
195740;NA
19;Q000
1;Q000Q355
1;Q000Q531
1;Q000Q549
1;Q000Q740Q742
1;Q000Q759
1;Q010Q02XQ042
4;Q012
1;Q012Q748
1;Q018
6;Q019
1;Q019Q249Q718
1;Q019Q611Q699
1;Q019Q690Q999
1;Q019Q763
9;Q02X
1;Q02XQ179
1;Q02XQ249
1;Q02XQ283
1;Q02XQ309Q898
1;Q02XQ379Q699
1;Q02XQ602
1;Q02XQ668
1;Q02XQ898
3;Q031
1;Q031Q369
1;Q031Q730
5;Q038
26;Q039
1;Q039Q053Q202
1;Q039Q059Q410
1;Q039Q059Q664Q767
1;Q039Q249Q270Q620Q750
1;Q039Q359
1;Q039Q613Q668Q681Q759
1;Q039Q620Q898
1;Q039Q661Q897
1;Q039Q665
1;Q039Q668
1;Q039Q669Q681
1;Q039Q670Q743
1;Q039Q718Q728
1;Q039Q758
1;Q039Q898
1;Q039Q899
2;Q040
2;Q042
1;Q042Q158Q359
1;Q042Q249Q899
4;Q043
1;Q043Q174Q564Q648Q668
1;Q043Q753Q790Q799
1;Q048
1;Q048Q668Q681
1;Q048Q759
5;Q049
1;Q049Q189
1;Q049Q249Q898
1;Q052Q660
1;Q053
1;Q054
1;Q055Q270Q351
1;Q056
1;Q057
1;Q058
16;Q059
1;Q059Q532
1;Q059Q549
1;Q059Q666
1;Q059Q742
1;Q061
2;Q068
1;Q069
2;Q070
1;Q078
2;Q079
1;Q079Q249Q251
1;Q103Q174Q189Q382Q740
1;Q103Q174Q189Q898
1;Q103Q174Q308Q371Q748
1;Q103Q179
1;Q103Q183Q369Q674
1;Q103Q668Q681
1;Q103Q740Q898
1;Q112Q249Q359Q374Q792
1;Q120
1;Q132
1;Q133Q743
1;Q142
1;Q158Q308Q897
1;Q159Q179Q183Q674
2;Q160
1;Q161
1;Q164Q174Q189Q308Q752
9;Q170
1;Q170Q189Q309
1;Q170Q690
1;Q172
1;Q172Q249Q913
1;Q172Q759
2;Q173
1;Q173Q218Q382Q699Q752
1;Q173Q379
1;Q173Q385Q532Q669Q681
1;Q173Q436
1;Q173Q539Q699Q749Q792
1;Q173Q681
4;Q174
1;Q174Q183Q564Q681Q752
1;Q174Q189Q613Q668
1;Q174Q336Q668Q681
1;Q174Q381Q909
1;Q174Q423Q564Q729
1;Q174Q674Q709
1;Q175Q379
8;Q178
3;Q179
2;Q179Q301Q759
1;Q179Q359Q369Q378Q564
1;Q179Q558Q898
1;Q179Q669
1;Q181
1;Q182Q378
1;Q183Q189
1;Q188Q379Q699
1;Q188Q539
6;Q189
1;Q189Q249Q270Q564Q668
1;Q189Q668
1;Q189Q753
1;Q200
1;Q200Q210Q211Q234
2;Q201
1;Q202Q204Q208
3;Q203
1;Q204
1;Q206
1;Q206Q359Q670
1;Q206Q383Q898
2;Q208
1;Q208Q220
1;Q208Q249Q359Q369
1;Q209
1;Q209Q228
1;Q210
1;Q210Q248Q899
1;Q210Q539
1;Q211Q221Q250
2;Q212
4;Q213
1;Q218
1;Q218Q669Q809
3;Q219
1;Q219Q249
1;Q219Q253Q670
1;Q230Q870
2;Q248
1;Q248Q638Q661
1;Q248Q792
28;Q249
1;Q249Q270Q359Q369Q699
1;Q249Q336Q614Q763
2;Q249Q447
1;Q249Q614
1;Q249Q699
1;Q249Q718
1;Q249Q749
1;Q249Q900
2;Q249Q909
2;Q251
1;Q251Q254
1;Q254
7;Q270
1;Q270Q301
1;Q270Q423Q613
1;Q270Q552Q640Q759Q769
1;Q278
1;Q289Q649
1;Q300Q699Q758
1;Q308
1;Q309Q669Q774
1;Q319
1;Q335
1;Q336
1;Q336Q619
1;Q336Q771
1;Q338
1;Q338Q718Q728Q759
2;Q351
1;Q353
1;Q355
12;Q359
4;Q359Q369
1;Q359Q369Q699
1;Q359Q369Q897
3;Q359Q380
1;Q359Q380Q699
1;Q359Q390Q748Q792
1;Q359Q525
1;Q359Q668Q793
1;Q360
13;Q369
1;Q369Q539
1;Q370
1;Q371Q379
1;Q371Q740
1;Q372
1;Q375
2;Q378
1;Q378Q665Q749
1;Q378Q666Q753
12;Q379
16;Q380
1;Q381
1;Q382
1;Q383
2;Q386
3;Q390
1;Q390Q681
1;Q391Q681
1;Q398
1;Q410
1;Q410Q909
1;Q412
1;Q422
1;Q422Q645
1;Q422Q681
11;Q423
1;Q423Q564
1;Q430Q669
3;Q438
1;Q438Q798Q829
1;Q439
2;Q447
1;Q447Q766
1;Q458
1;Q459
1;Q519Q560
1;Q523
1;Q524
3;Q530
3;Q531
1;Q531Q850Q899
1;Q532
6;Q539
1;Q539Q668
1;Q539Q709
1;Q540
2;Q541
1;Q543
2;Q548
34;Q549
1;Q550Q699
1;Q556
1;Q558
3;Q559
1;Q560
1;Q560Q668Q748Q759Q897
1;Q560Q897
1;Q560Q899
1;Q560Q999
1;Q563
1;Q563Q899
10;Q564
1;Q564Q640
1;Q564Q795
1;Q564Q878
2;Q564Q897
2;Q564Q898
1;Q564Q899
1;Q600
3;Q601
1;Q605
1;Q606
1;Q611
1;Q613
1;Q613Q999
2;Q614
1;Q614Q748
1;Q614Q898
8;Q620
2;Q638
1;Q639
1;Q640
1;Q642
1;Q649
1;Q652
1;Q658Q769
1;Q659Q669
25;Q660
3;Q661
1;Q661Q664Q793
2;Q663
13;Q664
1;Q664Q699
8;Q665
6;Q666
74;Q668
1;Q668Q674
1;Q668Q681
1;Q668Q741
1;Q668Q748
1;Q668Q897
1;Q668Q899
24;Q669
1;Q669Q681
1;Q669Q681Q795
1;Q669Q753
3;Q670
2;Q671
1;Q672
1;Q672Q760
2;Q674
1;Q675Q681
1;Q678Q742
13;Q681
5;Q682
1;Q683
1;Q684
1;Q688
1;Q688Q742
1;Q688Q748
75;Q690
1;Q690Q699
2;Q690Q709
3;Q691
273;Q699
4;Q699Q709
1;Q699Q709Q713
1;Q699Q748
1;Q699Q833
1;Q699Q897
4;Q700
1;Q701
4;Q704
9;Q709
4;Q712
3;Q713
2;Q713Q718
1;Q713Q723
3;Q719
1;Q723
1;Q723Q728Q798
2;Q728
1;Q728Q899
1;Q729
2;Q738
8;Q740
5;Q741
9;Q742
5;Q748
1;Q748Q870
13;Q749
1;Q749Q793
1;Q750
1;Q750Q758
3;Q753
2;Q758
1;Q758Q790
1;Q758Q898
2;Q759
2;Q763
1;Q765
2;Q769
4;Q774
1;Q776
1;Q779
7;Q790
7;Q792
1;Q792Q870
38;Q793
1;Q793Q897
2;Q795
1;Q799Q899
1;Q804
1;Q810
1;Q818
1;Q819
1;Q820
1;Q831
3;Q833
1;Q839
1;Q848
1;Q861
3;Q870
1;Q871
3;Q878
6;Q894
26;Q897
1;Q897Q898
48;Q898
36;Q899
1;Q900
1;Q901Q909
1;Q902
32;Q909
1;Q911
7;Q913
1;Q914
4;Q917
1;Q998
2;Q999
