count;codanomal
4;D180
127849;NA
24;Q000
1;Q000Q010Q249Q792
1;Q000Q359
1;Q000Q792
1;Q000Q987
1;Q010
2;Q012
1;Q012Q174Q309Q385
1;Q012Q300Q674Q678
1;Q012Q370
1;Q018
1;Q018Q614
1;Q019Q02XQ070
1;Q019Q039
1;Q019Q049
1;Q019Q070
5;Q02X
1;Q02XQ042
1;Q02XQ042Q111Q301Q672
1;Q02XQ309Q704
1;Q02XQ379
1;Q02XQ759
1;Q02XQ909
2;Q031
1;Q031Q040
6;Q038
1;Q038Q046
1;Q038Q660
23;Q039
1;Q039Q042Q112Q234Q301
1;Q039Q043Q753
1;Q039Q050Q169Q249Q743
1;Q039Q054
1;Q039Q059
1;Q039Q158Q799
1;Q039Q661Q743
1;Q039Q668
1;Q040Q792
1;Q041Q549
5;Q042
1;Q042Q112Q564Q897
1;Q042Q210Q270Q660
1;Q042Q308Q669Q753
1;Q042Q379
1;Q042Q670Q758
1;Q042Q752Q870
1;Q042Q899
2;Q043
1;Q046Q978
2;Q048
1;Q048Q068Q174Q188Q660
1;Q049
1;Q050
1;Q050Q699
2;Q052
1;Q055
1;Q057
1;Q057Q668
1;Q057Q669Q743
1;Q058Q248Q258Q669Q790
25;Q059
1;Q059Q248Q669
1;Q059Q549
1;Q059Q549Q669
1;Q059Q564Q793
1;Q059Q668
1;Q059Q669
1;Q063
1;Q068Q189Q539Q669
2;Q069
2;Q070
2;Q079
1;Q103Q383Q688Q795Q828
1;Q103Q683Q741
1;Q111Q302Q303Q681Q713
1;Q112
1;Q112Q173Q270
1;Q112Q249Q359Q379Q564
1;Q112Q309
1;Q133
1;Q158Q798Q870Q897
3;Q160
1;Q160Q174Q549Q709
1;Q160Q359
1;Q161
1;Q164
2;Q169
24;Q170
1;Q170Q270
1;Q170Q664
1;Q170Q779
5;Q172
3;Q173
1;Q173Q206
1;Q173Q308Q556Q839
1;Q173Q759
5;Q174
1;Q174Q183Q681Q718Q752
1;Q174Q251Q532Q912
1;Q174Q359Q753
1;Q174Q379
1;Q174Q423Q556Q668
1;Q174Q661
2;Q174Q669Q743
1;Q174Q674
1;Q174Q752
7;Q178
1;Q178Q183
1;Q178Q398Q669Q743
11;Q179
10;Q181
1;Q181Q249Q620Q690Q909
1;Q182
1;Q183Q379Q380Q668Q709
2;Q188
1;Q188Q668Q718Q795
2;Q189
1;Q205Q208Q648
2;Q206
2;Q208
6;Q209
1;Q209Q909
1;Q210Q211
1;Q210Q211Q390Q564Q758
1;Q210Q211Q421
1;Q211Q224Q749Q759
1;Q213
1;Q213Q359Q564
1;Q213Q361
2;Q218
1;Q218Q378Q690Q917
1;Q219Q792Q913
1;Q225
1;Q228Q254Q259
2;Q234
1;Q240Q564Q669Q899
1;Q240Q618Q790
1;Q246Q790
2;Q248
1;Q248Q753
1;Q248Q861
1;Q248Q909
8;Q249
1;Q251
1;Q253Q256
1;Q269
28;Q270
1;Q272
2;Q289
2;Q300
3;Q302
1;Q308Q668Q713Q723Q742
1;Q309
1;Q330
1;Q333
1;Q336Q560
1;Q336Q605Q743
1;Q336Q606Q613
1;Q338Q601Q669
2;Q353
1;Q355
1;Q357
16;Q359
1;Q359Q371
6;Q359Q380
1;Q359Q383Q690Q718Q792
1;Q359Q620Q709
2;Q359Q668
2;Q359Q669
1;Q359Q699
2;Q360
1;Q360Q870
1;Q361
7;Q369
5;Q370
1;Q371
1;Q373
