count;codanomal
1;Q280Q380
1;Q870
1;Q359Q753
2;Q02X
1;Q435
2;Q871
1;Q02XQ666
1;Q378
1;Q436Q759
1;Q385
2;Q160
1;Q201Q232Q234
1;Q742
1;Q659Q768
2;Q359Q380
3;Q369
1;Q360Q380
1;Q174
1;Q173
1;Q336Q560
1;Q359Q380Q699
42057;NA
1;Q794
1;Q359Q539Q691Q748
3;Q795
1;Q182
1;Q288
2;Q743
1;Q846
1;Q828
1;Q178
1;Q380Q681
1;Q741
13;Q909
5;Q181
1;Q049
1;Q563
3;Q251
1;Q231
1;Q213Q564
1;Q799
1;Q270Q423
1;Q436
1;Q730
1;Q044
1;Q724Q726
1;Q613
3;Q206
1;Q02XQ308
8;Q669
1;Q660Q670Q909
1;Q359Q829
1;Q752Q872
1;Q183Q558Q748
1;Q175
1;Q556
1;Q02XQ658Q661Q682Q760
1;Q360
3;Q709
4;Q564
1;Q340Q870
1;Q042
1;Q758
1;Q103Q681
3;Q902
3;Q897
1;Q372Q699
1;Q178Q219Q701Q902
1;Q422Q524
1;Q709Q748
2;Q380
1;Q258
3;Q692
1;Q912
2;Q039
1;Q000Q359
1;Q057
1;Q554
1;Q059Q548
1;Q213
3;Q661
1;Q203
1;Q315
2;Q790
31;Q690
1;Q253
1;Q792
1;Q710
1;Q738
41;Q699
1;Q229
1;Q039Q379Q713
1;Q219Q348
1;Q901
1;Q748
2;Q749
6;Q541
3;Q270
1;Q000
1;Q374
1;Q274
6;Q059
1;Q560
1;Q255
1;Q040Q249
1;Q614
1;Q652
5;Q179
1;Q423Q897
1;Q522
8;Q359
1;Q661Q668
1;Q226Q258
1;Q370
1;Q913
1;Q248
1;Q770
12;Q549
1;Q660Q668
1;Q663
3;Q899
1;Q542
2;Q548
2;Q740
3;Q713
5;Q668
1;Q675
1;Q309
1;Q666
1;Q665
1;Q058
2;Q682
2;Q379
1;Q301Q380
1;Q872
4;Q753
1;Q336Q681
1;Q691
1;Q224
1;Q929
7;Q664
1;D180
1;Q02XQ661
1;Q103
10;Q793
1;Q606
1;Q209
11;Q660
1;Q623
6;Q531
1;Q02XQ359Q778
1;Q654Q794
3;Q423
5;Q681
1;Q234
1;Q639
1;Q650
1;Q660Q699Q752Q872
