count;codanomal
1;Q249Q379Q690Q791
2;Q550
1;Q870
9;Q02X
2;Q289
1;Q336
1;Q685
1;Q619Q728
1;Q336Q614
3;Q378
1;Q220
1;Q911Q913
1;Q379Q532Q549
1;Q248Q338
1;Q039Q139
1;Q359Q380
2;Q369
1;Q174
1;Q659Q774
1;Q399
54435;NA
1;Q794
1;Q172Q602Q670
1;Q182
1;Q174Q709Q752
1;Q741
1;Q669Q749
1;Q172
6;Q181
1;Q549Q668Q670Q870
1;Q699Q716
1;Q039Q120Q173
1;Q539
2;Q532
1;Q059Q209
1;Q564Q897
1;Q240
1;Q660Q661
5;Q669
1;Q049Q681Q753
1;Q969
1;Q039Q753Q875
1;Q750
1;Q667Q704
1;Q336Q614Q620
1;Q550Q664
1;Q248Q674
6;Q709
4;Q564
2;Q250
1;Q832
1;Q758
1;Q771
3;Q897
1;Q249Q443Q769Q991
1;Q053
1;Q380
1;Q681Q690
4;Q898
1;Q039Q870
1;Q437Q564Q641
1;Q330
1;Q210Q798
1;Q729Q829
9;Q039
1;Q618
2;Q658
1;Q213
2;Q661
1;Q218Q669Q909
2;Q353
1;Q678Q681
1;Q208Q210Q211Q250Q909
1;Q785
3;Q792
2;Q336Q897
1;Q605
1;Q249Q664
1;Q159Q172Q301
1;Q700
3;Q749
1;Q447
1;Q211Q234Q251Q257
1;Q780
6;Q000
1;Q222
1;Q795Q909
1;Q391Q901
1;Q605Q828
2;Q704
1;Q614
2;Q641
1;Q833
1;Q039Q160Q532Q556Q674
1;Q301Q753Q774
1;Q336Q623
3;Q248
5;Q899
1;Q667
1;Q019Q669Q688Q699Q792
1;Q309
1;Q209Q790Q795Q913
2;Q665
2;Q640
7;Q249
2;Q189
2;Q753
1;Q228
1;Q012
3;Q664
2;D180
1;Q059Q549
1;Q040Q753
1;Q986
2;Q103
20;Q793
3;Q209
1;Q769
4;Q531
1;Q211Q250Q690
2;Q681
1;Q639
4;Q234
2;Q638
1;Q336Q749Q790
1;Q048Q050
1;Q391Q749
1;Q336Q619
1;Q749Q758
1;Q159Q174Q188Q531Q550
2;Q391
1;Q447Q870
1;Q878
1;Q423Q524
1;Q369Q690
1;Q112Q174Q564Q700
1;Q423Q549
1;Q422
3;Q079
1;Q719
1;Q279
1;Q039Q049Q379Q669Q681
1;Q668Q719
3;Q338
2;Q795
1;Q898Q909
1;Q246
1;Q383
2;Q828
1;Q718
4;Q620
23;Q909
1;Q606Q614
1;Q213Q902
1;Q174Q336Q423Q539Q603
1;Q172Q188Q209Q790Q795
1;Q112Q663
1;Q206Q727
1;Q039Q675
1;Q218
1;Q336Q669Q898
1;Q012Q02X
1;Q336Q613
2;Q042
1;Q390
4;Q902
1;Q059Q070
1;Q210
1;Q170
1;Q049Q249
1;Q211
1;Q692
1;Q371Q380
1;Q055
1;Q382Q909
1;Q373
40;Q690
1;Q103Q174Q664
1;Q541Q690
1;Q825
1;Q371
2;Q039Q059
1;Q289Q909
1;Q738
1;Q059Q668
1;Q040Q431
1;Q249Q909
1;Q778
1;Q054Q059
20;Q699
2;Q894
1;Q378Q399Q423
1;Q428
1;Q272
2;Q901
2;Q604
3;Q748
1;Q018Q038
1;Q018Q912
1;Q374
1;Q549Q660
2;Q040
5;Q059
1;Q218Q249Q792Q917
1;Q249Q300
1;Q600
3;Q359
2;Q370
2;Q900
11;Q549
17;Q668
1;Q040Q048Q052
1;Q181Q211
1;Q831
2;Q759
1;Q379Q716Q753
2;Q188
1;Q039Q753
2;Q379
1;Q379Q674Q793Q799
2;Q019
1;Q178Q669Q754
1;Q681Q712
1;Q02XQ793
2;Q691
1;Q040Q049Q683
1;Q103Q668Q793
1;Q378Q699Q917
1;Q050
1;Q248Q799
1;Q606
1;Q070
1;Q767
5;Q660
1;Q810
1;Q030Q042Q423Q790
2;Q423
