count;codanomal
2;Q550
4;Q870
1;Q031Q764
5;Q02X
1;Q871
1;Q289
1;Q685
1;Q336
1;Q02XQ179Q380
1;Q189Q359
1;Q000Q564
1;Q174Q669Q792
1;Q038Q173Q669
3;Q378
1;Q539Q798
1;Q359Q380
9;Q369
6;Q174
1;Q103Q174Q359
1;Q038Q753
1;Q375
1;Q555Q678Q742Q749Q763
95368;NA
1;Q369Q380
1;Q308
3;Q741
3;Q764
1;Q174Q759
2;Q181
1;Q563
1;Q179Q752
1;Q039Q040
3;Q439
1;Q799
2;Q539
1;Q710Q720Q759
3;Q532
1;Q564Q897
1;Q613
1;Q553Q712Q713
18;Q669
1;Q200Q390Q600
1;Q174Q742
1;Q750
1;Q549Q699
1;Q526
1;Q031
8;Q709
4;Q564
1;Q250
1;Q601
1;Q249Q899
3;Q758
1;Q678Q758Q774
3;Q771
9;Q897
1;Q178Q248
1;Q052Q795Q828
1;Q042Q111Q336Q359Q897
1;Q336Q779
2;Q688
8;Q380
3;Q898
1;Q161
1;Q018Q793
13;Q039
1;Q618
3;Q674
1;Q174Q188Q539Q668Q676
1;Q554
4;Q213
1;Q661
1;D180Q175Q241Q369Q388
1;Q353
1;Q359Q369
1;Q174Q201Q212Q221
6;Q792
2;Q710
1;Q02XQ174Q255Q390Q765
1;Q256
2;Q700
1;Q359Q917
3;Q541
7;Q749
1;Q559
2;Q447
5;Q270
1;Q641Q793
1;Q780
6;Q000
1;Q222
2;Q819
1;Q174Q189Q749Q759
1;Q999
1;Q704
5;Q179
1;Q173Q795
1;Q174Q188Q249Q752
1;Q370Q524Q664
1;Q200
1;Q183Q359Q752Q909
1;Q248
1;Q379Q669
1;Q019Q668
1;Q663
4;Q899
1;Q548
1;Q174Q178Q870
1;Q845
1;Q159Q161Q179Q309Q379
1;Q560Q749Q759Q769Q795
4;Q665
2;Q640
16;Q249
1;Q551
2;Q682
1;Q662
1;Q206Q438
1;Q174Q188Q388Q752
7;Q189
1;Q872
4;Q753
1;Q809
1;Q012
10;Q664
4;D180
1;Q049Q559
1;Q359Q897
1;Q039Q301Q758Q909
1;Q359Q669
4;Q043
1;Q989
1;Q174Q670
1;Q659
23;Q793
1;Q601Q742
1;Q769
4;Q531
1;Q552
1;Q251Q254
5;Q681
1;Q174Q749
1;Q234
1;Q675Q759Q769
1;Q172Q386Q388Q674
1;Q249Q620
1;Q438
1;Q112Q185Q249Q301Q752
1;Q318Q423Q743Q766
3;Q391
3;Q054
1;Q716
2;Q678
2;Q774
1;Q382Q753Q774
2;Q160
1;Q385
2;Q742
1;Q564Q991
2;Q422
2;Q719
1;Q543
2;Q173
1;Q321Q668
1;Q158Q174Q270Q309Q423
2;Q690Q692
1;Q043Q174
1;Q174Q308Q385Q699Q709
1;Q174Q189Q524Q529Q665
3;Q795
1;Q789
1;Q174Q369Q699Q750
3;Q178
2;Q620
1;Q249Q792
19;Q909
1;Q382
1;Q552Q690
1;Q225
1;Q251
1;Q661Q699
2;Q386
1;Q648
1;Q357
2;Q436
1;Q359Q379Q380
1;Q046Q351Q359
1;Q713Q723
2;Q529
1;Q749Q759
1;Q445Q792
1;Q206
1;Q339
2;Q556
1;Q204Q210Q211
1;Q690Q709
1;Q447Q890
2;Q360
2;Q042
2;Q712
1;Q390
1;Q180
1;Q699Q792Q795
1;Q902
1;Q564Q649Q742
1;Q043Q183Q309Q522Q669
5;Q170
1;Q039Q750
1;Q308Q359
3;Q692
1;Q039Q052Q753
1;Q042Q045Q048
1;Q360Q378
33;Q690
5;Q790
1;Q059Q749
1;Q336Q423Q620
1;Q825
1;Q039Q059
1;Q619
1;Q649
1;Q690Q870
1;Q249Q369Q917
1;Q560Q716
68;Q699
1;Q059Q792
1;Q458
1;Q549Q678Q759Q795
2;Q748
1;Q681Q699
1;Q423Q643
1;Q040
1;Q112Q336Q690Q692Q699
13;Q059
1;Q600
1;Q170Q381
15;Q359
1;Q900
1;Q913
22;Q549
1;Q540
2;Q728
1;Q740
1;Q713
34;Q668
1;Q831
4;Q759
1;Q188
3;Q666
1;Q058
1;Q038
1;Q174Q270Q336Q423Q564
1;Q160Q174Q188Q668Q792
1;Q039Q660
7;Q379
1;Q729
1;Q385Q669Q674Q681Q741
1;Q183
1;Q300
1;Q039Q564
1;Q042Q917
1;Q720
2;Q691
1;Q019Q790
1;Q731
1;Q435Q699
1;Q172Q174Q188Q249Q339
2;Q668Q681
1;Q620Q623
3;Q606
16;Q660
3;Q423
1;Q249Q410Q902
1;Q678Q718Q728
1;Q650
