"count";"codanomal"
1;Q378Q690
1;Q660Q669
1;Q039Q691
3;Q870
4;Q02X
1;Q210Q211Q234Q251Q790
1;Q158Q179Q830
1;Q685
5;Q054
2;Q336
1;Q355Q380
1;Q772
6;Q378
1;Q385
3;Q160
3;Q742
1;Q039Q532Q549Q758
1;Q179Q716Q870
1;Q000Q699
1;Q798
2;Q422
2;Q359Q380
1;Q719
1;Q543
4;Q369
1;Q174
1;Q178Q870
1;Q02XQ160
1;Q02XQ359
2;Q375
1;Q069Q682Q688
112807;NA
1;Q794
7;Q795
1;Q182
1;Q898Q909
1;Q179Q551Q668
1;Q666Q700
1;Q564Q913
2;Q383
1;Q355
2;Q178
1;Q674Q989
5;Q741
1;Q620
1;Q174Q700Q753Q768
13;Q909
1;Q049
1;Q651
3;Q563
2;Q249Q894
1;Q039Q040
1;Q378Q713
1;Q674Q899
1;Q386
1;Q793Q870
1;Q799
1;Q749Q764
1;Q409
1;Q539
1;Q436
2;Q532
1;Q02XQ351Q899
1;Q042Q870
1;Q529
1;Q564Q897
1;Q749Q759
2;Q206
1;Q670
1;Q240
12;Q669
1;Q218
1;Q169
1;Q447Q890
5;Q564
4;Q709
1;Q380Q668
1;Q758
3;Q897
1;Q159
1;Q178Q666
2;Q868
2;Q361
7;Q380
1;Q669Q793
1;Q339Q755
4;Q898
1;Q070Q665Q759
2;Q692
1;Q158Q174Q189Q385Q838
1;Q219
1;Q330
1;Q179Q668Q759
1;Q000Q02X
12;Q039
1;Q674
1;Q203
6;Q661
1;Q059Q793
12;Q690
2;Q790
1;Q039Q749
1;Q353
1;Q150
7;Q701
1;Q359Q369
1;Q371
2;Q792
1;Q710
2;Q069
1;Q649
1;Q549Q690
1;Q680
1;Q336Q610Q614
2;Q249Q909
1;Q178Q564
1;Q018
1;Q433
1;Q351Q380
1;Q068
1;Q054Q249
1;Q059Q174Q870
34;Q699
3;Q748
1;Q270
1;Q559
1;Q02XQ664Q897
15;Q000
1;Q046
1;Q699Q709
1;Q819
2;Q374
1;Q422Q664
15;Q059
1;Q401
1;Q054Q439Q720
1;Q663Q709
1;Q179
1;Q548Q666
2;Q614
1;Q704
2;Q999
12;Q359
1;Q183Q661
1;Q078
1;Q103Q661
1;Q359Q380Q665
1;Q423Q542
2;Q248
10;Q549
1;Q02XQ249Q359Q369
2;Q663
3;Q899
1;Q979
1;Q667
1;Q548
1;Q000Q423Q564Q668
2;Q740
3;Q713
13;Q668
1;Q675
1;Q675Q898
1;Q174Q183Q872
3;Q759
4;Q666
1;Q188
8;Q665
1;Q668Q738
4;Q038
3;Q249
1;Q188Q385
2;Q682
1;Q662
1;Q409Q729
1;Q336Q549Q870
1;Q713Q749Q897
1;Q564Q605Q792
4;Q379
1;Q183
1;Q174Q189
1;Q054Q249Q549Q552Q669
1;Q203Q210Q221
5;Q019
1;Q872
1;Q643
4;Q753
1;Q720
1;Q049Q743
4;Q012
1;Q055Q699
7;Q664
1;Q699Q870
1;Q793Q897
1;Q713Q722
22;Q793
1;Q054Q359Q749
1;Q767
8;Q660
1;Q531
1;Q039Q395
2;Q552
1;Q530
1;Q369Q378Q602
1;Q059Q669
1;Q664Q870
2;Q423
7;Q681
1;Q336Q793
1;Q249Q359
1;Q058Q248
