count;codanomal
254970;NA
24;Q000
1;Q000Q02XQ158
1;Q000Q02XQ564Q752
1;Q000Q183
1;Q000Q359Q380
1;Q000Q556
1;Q000Q564Q897
1;Q000Q709
1;Q000Q759
2;Q000Q899
2;Q001
1;Q010Q02X
4;Q012
1;Q012Q019
1;Q012Q613Q614Q699Q897
4;Q019
1;Q019Q02X
1;Q019Q039
1;Q019Q174Q369
1;Q019Q189Q529Q740
1;Q019Q379
1;Q019Q564Q709
1;Q019Q674
8;Q02X
1;Q02XQ031Q039Q059
1;Q02XQ042Q112Q210Q375
1;Q02XQ042Q300Q301
1;Q02XQ042Q301Q369
1;Q02XQ042Q309Q681Q899
1;Q02XQ103Q112Q179Q301
1;Q02XQ111Q699
1;Q02XQ112Q359Q378Q532
1;Q02XQ179Q188Q309Q556
1;Q02XQ249Q375Q620Q897
1;Q02XQ283
1;Q02XQ349Q531Q897
1;Q030
3;Q031
1;Q031Q042
1;Q031Q048Q174Q203Q688
1;Q031Q173Q183Q668
3;Q038
1;Q038Q160Q249
1;Q038Q208Q336Q620
13;Q039
1;Q039Q042
1;Q039Q043Q174Q870
1;Q039Q043Q208Q210
1;Q039Q049
1;Q039Q059
1;Q039Q070
1;Q039Q079
1;Q039Q225Q620
1;Q039Q250Q283
1;Q039Q359Q753
1;Q039Q753
1;Q040Q042Q792Q973
1;Q040Q174Q202Q369Q390
1;Q040Q189
1;Q040Q208
1;Q040Q212Q251Q917
1;Q040Q249
1;Q040Q249Q913
5;Q042
1;Q042Q208Q897
1;Q042Q210Q517Q668Q999
1;Q042Q378Q614
1;Q042Q916Q917
4;Q043
1;Q043Q079
1;Q043Q160
1;Q043Q213Q699Q897Q917
1;Q043Q248Q270Q917
1;Q043Q289Q564Q678Q688
1;Q044Q283
1;Q046
1;Q046Q049Q439Q446Q713
1;Q048
1;Q048Q208
5;Q049
1;Q049Q050
1;Q049Q699
1;Q049Q742
1;Q050
1;Q052Q753
1;Q053
1;Q053Q270Q668
1;Q054Q447Q668Q688Q753
1;Q055Q056
1;Q055Q899
3;Q057
1;Q057Q189Q353Q668
3;Q058
1;Q058Q189Q249Q270Q668
1;Q058Q208Q668
38;Q059
1;Q059Q070
1;Q059Q188
2;Q059Q208
1;Q059Q210Q249Q898
1;Q059Q249Q336Q674
1;Q059Q359Q539Q799
1;Q059Q437Q602Q792
1;Q059Q602Q659Q668
1;Q059Q663
4;Q059Q668
2;Q059Q753
1;Q059Q913
1;Q069
5;Q070
1;Q079Q249
1;Q079Q336Q893
1;Q079Q741Q743
2;Q103
1;Q103Q174Q668Q714Q715
1;Q103Q178Q359
1;Q103Q189Q308Q383Q740
1;Q103Q681
1;Q103Q753
1;Q107Q336Q552Q690Q917
1;Q111Q189Q301Q699Q753
1;Q112
1;Q112Q174
1;Q112Q174Q564
1;Q112Q183Q660
1;Q112Q208Q249Q309Q532
1;Q112Q248Q374Q379Q556
1;Q112Q301Q359Q699
1;Q112Q379
1;Q112Q668Q674Q740
1;Q130Q380
1;Q132
1;Q133Q270Q668Q681
1;Q149Q189Q759Q795
1;Q158Q174
1;Q158Q249
1;Q158Q308Q385Q674Q700
3;Q159
1;Q159Q179
1;Q159Q309
1;Q159Q309Q917
1;Q159Q359Q380
1;Q159Q432Q759
1;Q159Q709
5;Q160
1;Q160Q172
1;Q160Q172Q359Q897
2;Q161
1;Q161Q259Q378Q380
1;Q164Q179
1;Q164Q380
8;Q170
1;Q170Q699
1;Q171
2;Q172
3;Q173
1;Q173Q174Q270Q422Q423
1;Q173Q668
1;Q173Q681Q753
1;Q173Q740
1;Q173Q928
7;Q174
1;Q174Q179
1;Q174Q183Q249Q669
1;Q174Q183Q336Q668Q681
1;Q174Q183Q668Q752
1;Q174Q183Q838
1;Q174Q189
1;Q174Q189Q336Q550Q668
1;Q174Q189Q678Q685
1;Q174Q189Q764
1;Q174Q212Q359
1;Q174Q221Q753Q913
1;Q174Q234Q382
1;Q174Q301Q382Q812
1;Q174Q308Q359
1;Q174Q359Q672Q758
1;Q174Q422Q564Q759
1;Q174Q539Q678
1;Q174Q663Q681Q752Q870
1;Q174Q665Q740
2;Q174Q668
1;Q174Q668Q897
1;Q174Q674
1;Q174Q678Q753Q771
1;Q174Q718Q752
1;Q174Q740Q969
1;Q174Q838
1;Q175Q189Q359
10;Q178
1;Q178Q179
1;Q178Q183Q302
1;Q178Q369
1;Q178Q390Q709Q718
3;Q179
1;Q179Q379
1;Q179Q549Q668Q799
1;Q179Q552
1;Q179Q665Q668
1;Q179Q668Q699
1;Q179Q669Q681
1;Q180
4;Q181
1;Q181Q188
1;Q181Q369
1;Q183Q188Q701
2;Q188
1;Q188Q719Q729
9;Q189
1;Q189Q699
1;Q189Q752
20;Q200
1;Q200Q254
3;Q203
1;Q205Q218
6;Q208
1;Q208Q249Q909
1;Q208Q410Q668Q753
1;Q208Q531
1;Q208Q753
3;Q209
2;Q209Q913
1;Q209Q999
1;Q210
1;Q210Q211
1;Q210Q249
1;Q210Q250Q336Q792Q793
1;Q210Q792
3;Q212
1;Q212Q221
1;Q212Q234Q249Q913
1;Q212Q901
1;Q212Q909
4;Q213
