count;codanomal
1;Q000Q894
1;Q550
1;Q870
1;Q458Q564
2;Q02X
1;Q174Q385Q674
1;Q174Q668Q681Q752
1;Q054
1;Q336
1;Q669Q699
1;Q716
1;Q678
2;Q774
1;Q528
1;Q742
1;Q000Q699
1;Q719
1;Q059Q758
1;Q359Q380
5;Q369
2;Q174
1;Q375
43379;NA
1;Q383
1;Q174Q447Q758Q890
1;Q220Q226
1;Q039Q059Q668
1;Q103Q359Q699Q766Q769
1;Q741
1;Q620
8;Q909
1;Q172
1;Q049
1;Q374Q380
1;Q103Q174Q308
1;Q439
1;Q02XQ184Q668Q690
1;Q359Q674
1;Q539
1;Q103Q174
1;Q211Q379
1;Q113Q174Q738Q753Q768
1;Q174Q300Q369
1;Q600Q665Q681
1;Q280
1;Q664Q793
4;Q669
1;Q556
1;Q750
1;Q602
1;Q174Q750Q752
1;Q019Q039Q042Q049
1;Q031
1;Q564
1;Q174Q188
5;Q709
3;Q042
1;Q712
1;Q02XQ359Q423
1;Q674Q759Q825
3;Q897
1;Q661Q681
1;Q688
1;Q690Q759Q792
1;Q380
6;Q170
1;Q258
1;Q351Q380Q678
1;Q692
5;Q039
2;Q658
1;Q213
2;Q661
1;Q790
15;Q690
1;Q529Q647Q897
1;Q353
1;Q174Q447
1;Q359Q369
1;Q174Q270Q423Q550Q647
1;Q710
1;Q564Q668Q795
1;Q02XQ059Q158Q179Q301
1;Q649
1;Q059Q668
1;Q158Q379Q690
1;Q160Q759
1;Q674Q699
1;Q068
23;Q699
2;Q894
1;Q359Q790
1;Q173Q183Q423Q564Q664
1;Q541
3;Q749
2;Q270
9;Q000
1;Q699Q709
1;Q02XQ174
2;Q059
1;Q560
1;Q259
1;Q280Q894
3;Q179
1;Q673
1;Q641
1;Q833
1;Q174Q435Q532Q752Q758
4;Q359
1;Q111
1;Q174Q532Q674Q753
1;Q799Q878
1;Q158Q172Q188Q308
5;Q549
1;Q899
1;Q740
1;Q560Q899
1;Q059Q249
1;Q042Q158Q359Q560
2;Q713
20;Q668
1;Q249Q913
1;Q675
3;Q759
1;Q058
4;Q249
1;Q682
1;Q059Q669Q752
1;Q049Q423Q564Q792
1;Q174Q529
11;Q379
1;Q183
1;Q103Q174Q382Q663
1;Q019Q02X
1;Q674Q764Q846
1;Q174Q308Q382Q385
1;Q753
1;Q765
1;Q213Q913
5;Q664
1;Q048
1;D180
1;Q602Q791Q999
1;Q380Q699Q790
1;Q039Q897
1;Q670Q678Q758
1;Q668Q681
1;Q183Q678Q718Q728
1;Q174Q423Q713Q748
8;Q793
1;Q174Q668Q758
3;Q660
1;Q769
1;Q270Q753Q758
2;Q531
1;Q390Q668
10;Q552
1;Q02XQ359Q659Q668Q681
1;Q379Q668
2;Q423
1;Q681
1;Q234
1;Q174Q532Q668Q678Q752
1;Q174Q699Q792
