count;codanomal
2;D180
137589;NA
20;Q000
2;Q000Q359
1;Q012
1;Q012Q038
1;Q018
5;Q019
1;Q019Q02X
1;Q019Q02XQ318Q459Q668
1;Q019Q043Q048
1;Q019Q564
1;Q019Q602
1;Q019Q789
11;Q02X
1;Q02XQ058
1;Q02XQ111Q369Q792
1;Q02XQ179Q270Q309Q564
1;Q02XQ758
1;Q031
1;Q031Q059
1;Q031Q753
1;Q031Q759
4;Q038
1;Q038Q045
1;Q038Q661
15;Q039
1;Q039Q040Q174Q668Q716
1;Q039Q049Q249Q369Q917
1;Q039Q050Q898
3;Q039Q059
1;Q039Q059Q668
1;Q039Q079
1;Q039Q160Q359Q380
1;Q039Q359Q369Q792
2;Q040
3;Q042
1;Q046Q668
1;Q049Q423Q681
1;Q049Q668Q681Q761
1;Q058Q439Q564
1;Q058Q668
20;Q059
1;Q059Q439Q564Q742Q792
1;Q059Q709Q723
1;Q059Q742Q793Q899
1;Q059Q753
1;Q079Q564
2;Q103
1;Q103Q189Q359Q388
1;Q103Q301Q699Q899
2;Q111
1;Q133
1;Q158
1;Q160
1;Q161Q792
1;Q164
2;Q165
1;Q169
1;Q169Q380Q564
4;Q170
1;Q170Q178
1;Q170Q206
1;Q170Q249
1;Q173Q183Q249Q659Q668
1;Q173Q439Q531Q716
3;Q174
1;Q174Q183
1;Q174Q359Q681
1;Q174Q870
1;Q174Q909
1;Q175Q674
3;Q178
1;Q178Q308Q798
7;Q179
1;Q179Q359Q668Q792Q899
1;Q179Q793
1;Q181
1;Q188
1;Q188Q795
1;Q189
1;Q189Q753Q764
1;Q200Q209Q211Q228Q627
1;Q201
1;Q201Q210Q211Q221
1;Q204
1;Q208
2;Q210
1;Q210Q211Q238
1;Q211
1;Q211Q249Q909
1;Q218
1;Q224
1;Q248
19;Q249
1;Q249Q336Q439Q564Q620
1;Q249Q359Q897
1;Q249Q539Q753
1;Q249Q790
1;Q249Q909
1;Q270
1;Q270Q750
1;Q274Q763
2;Q302
1;Q309
1;Q336Q728
1;Q339Q639Q669
1;Q349
1;Q351
1;Q355
11;Q359
1;Q359Q360
1;Q359Q360Q752
2;Q359Q369
1;Q359Q369Q564
1;Q359Q379
1;Q359Q379Q669Q681
1;Q359Q379Q792
4;Q359Q380
2;Q361
13;Q369
1;Q369Q423Q564Q668Q681
1;Q371
1;Q371Q379
1;Q373
2;Q374
1;Q375
5;Q378
6;Q379
1;Q379Q699
8;Q380
1;Q380Q423
1;Q380Q667
43;Q381
1;Q381Q699
1;Q382Q750Q838
1;Q388Q661
2;Q390
1;Q390Q423
2;Q410
2;Q422
1;Q422Q564Q742Q793
1;Q422Q564Q872
1;Q422Q669
2;Q423
1;Q423Q523Q668
1;Q423Q552Q748
2;Q423Q564
1;Q423Q564Q668
1;Q423Q564Q792
1;Q423Q658Q664
1;Q433
3;Q439
1;Q447
1;Q459
1;Q524
1;Q525
3;Q529
1;Q530Q549Q759
1;Q531
1;Q532Q564
1;Q539
1;Q539Q668Q681Q799
1;Q539Q709
1;Q539Q743Q793
1;Q541
1;Q541Q661Q676Q795
1;Q548
2;Q549
1;Q549Q564Q699
1;Q549Q668
1;Q549Q699
2;Q550
1;Q556
2;Q559
1;Q563
7;Q564
1;Q564Q690
1;Q564Q899
1;Q601Q606Q668
1;Q602
1;Q602Q899
1;Q613
1;Q613Q623Q647
1;Q613Q678Q897
4;Q620
1;Q639
1;Q640
2;Q649
2;Q652
2;Q659
20;Q660
14;Q661
1;Q662
3;Q663
8;Q664
1;Q664Q716
10;Q665
2;Q666
41;Q668
1;Q668Q792
13;Q669
3;Q669Q681
1;Q669Q681Q759
3;Q674
1;Q675
2;Q676
1;Q678Q738Q753
1;Q678Q758Q768Q898
1;Q678Q798Q832
5;Q681
1;Q681Q713
1;Q681Q899
3;Q682
1;Q683
14;Q690
1;Q690Q699
1;Q690Q709
35;Q699
1;Q699Q709
1;Q699Q753
3;Q700
1;Q701
3;Q704
4;Q709
2;Q711
3;Q713
1;Q713Q723
1;Q716
1;Q716Q727
1;Q718
1;Q722
1;Q723
1;Q730
1;Q731
6;Q740
1;Q741
4;Q742
2;Q743
3;Q748
5;Q749
1;Q749Q753
3;Q758
3;Q759
1;Q760
1;Q764Q765
2;Q769
1;Q771Q780
1;Q774
1;Q788
3;Q790
7;Q792
24;Q793
1;Q794
4;Q795
2;Q825
2;Q828
1;Q833
1;Q868
1;Q870
1;Q891
8;Q897
5;Q898
3;Q899
24;Q909
3;Q917
