count;codanomal
1;Q183Q385Q668Q681
2;Q870
1;Q438
2;Q02X
1;Q174Q382Q716
1;Q183Q248Q283Q909Q999
1;Q031Q668
1;Q391
1;Q613Q638
1;Q170Q184
1;Q716
1;Q188Q709
2;Q774
2;Q378
1;Q174Q382Q909
1;Q018Q052
1;Q742
1;Q664Q690
1;Q279
1;Q059Q436
6;Q369
1;Q174
1;Q234Q248
1;Q359Q758
1;Q690Q692
1;Q379Q917
57213;NA
3;Q795
1;Q300Q771
1;Q174Q188Q552Q668Q681
1;Q264Q639
1;Q178
1;Q234Q251
4;Q741
1;Q308
3;Q620
1;Q221
1;Q039Q054
11;Q909
1;Q049
1;Q179Q189Q728
1;Q563
1;Q039Q040
1;Q039Q688
1;Q039Q899
1;Q249Q740
1;Q359Q668
1;Q549Q556
1;Q439
3;Q799
1;Q183Q969
9;Q539
2;Q532
1;Q158Q174Q759
1;Q730
1;Q039Q674
1;Q408Q620Q690Q709Q898
1;Q249Q999
1;Q170Q668
1;Q613
1;Q206
1;Q670
1;Q02XQ039Q359
9;Q669
1;Q042Q301Q359Q369
1;Q248Q909
1;Q042Q248Q359Q914
2;Q556
1;Q178Q564Q709
1;Q549Q699
1;Q602
1;Q690Q709
1;Q360
1;Q526
1;Q031
2;Q709
7;Q564
1;Q601
1;Q042
1;Q201Q210Q218Q234
1;Q390
1;Q180
3;Q897
1;Q902
1;Q674Q909
1;Q02XQ159Q309
1;Q254Q278
1;Q249Q410
1;Q170Q174Q798
1;Q379Q423
1;Q361
3;Q380
11;Q170
3;Q898
1;Q174Q390Q752
1;Q330
1;Q039Q112Q668
1;Q766
4;Q039
2;Q658
1;Q554
1;Q057
1;Q174Q182Q704
2;Q661
1;Q188Q308Q382
1;Q691Q704
1;Q031Q228Q338Q531
1;Q760
3;Q790
23;Q690
1;Q240Q909
1;Q182Q302
3;Q359Q369
1;Q664Q665
3;Q825
3;Q792
1;Q713Q909
1;Q059Q668
1;Q158Q663Q668Q690Q753
1;Q378Q563Q690
1;Q209Q878
1;Q211Q250Q254
16;Q699
1;Q289Q969
1;Q174Q379Q660Q792
1;Q381
1;Q668Q899
1;Q665Q709
2;Q748
2;Q749
2;Q270
1;Q559
5;Q000
1;Q311
1;Q046
5;Q699Q709
1;Q911
1;Q161Q369
1;Q183Q753
10;Q059
1;Q531Q549
1;Q560
1;Q410
1;Q039Q212Q336
1;Q690Q699
1;Q179
1;Q704
2;Q833
6;Q359
1;Q200
1;Q174Q213Q909
1;Q668Q681Q748
1;Q031Q111Q170Q301Q669
1;Q391Q681Q792
2;Q248
21;Q549
1;Q663
25;Q899
3;Q728
1;Q675Q793
3;Q713
38;Q668
1;Q02XQ042Q174Q382Q759
1;Q675
1;Q208
1;Q174Q666Q909
1;Q039Q539Q549Q668Q749
5;Q831
1;Q759
1;Q188
2;Q666
5;Q665
1;Q140
2;Q640
1;Q249
1;Q038
3;Q682
1;Q270Q272
1;Q379
1;Q423Q909
1;Q729
1;Q031Q039Q681Q749Q870
1;Q300
1;Q039Q564
2;Q019
1;Q189
1;Q031Q059Q173Q660Q674
1;Q872
2;Q753
1;Q620Q878
5;Q664
1;Q048
1;Q170Q558Q898
1;Q201Q842
1;Q666Q712
9;Q793
1;Q213Q220
6;Q660
1;Q767
1;Q160Q372
1;Q620Q648Q794Q798
6;Q531
1;Q620Q909
1;Q728Q774
5;Q423
1;Q174Q909
4;Q681
1;Q639
2;Q234
1;Q02XQ043
1;Q043Q699
1;Q178Q189Q308Q383Q681
2;Q650
