count;codanomal
2;D180
132066;NA
17;Q000
1;Q000Q539
1;Q010Q731
1;Q012Q174
6;Q019
4;Q019Q02X
1;Q019Q359Q379
14;Q02X
1;Q02XQ059
1;Q02XQ159
1;Q02XQ174
1;Q02XQ174Q270
1;Q02XQ174Q674Q753
1;Q02XQ183Q359
1;Q02XQ301
1;Q02XQ359Q369Q699
1;Q02XQ379
1;Q02XQ668
1;Q02XQ668Q674Q792
1;Q02XQ742
1;Q02XQ743
1;Q02XQ793
1;Q031
1;Q031Q043
1;Q031Q078Q179Q564Q668
1;Q031Q249Q336
3;Q038
9;Q039
1;Q039Q042Q301Q369Q564
1;Q039Q059Q753
1;Q039Q336
1;Q039Q758
2;Q043Q740Q742
1;Q048
1;Q049
1;Q049Q203Q254
1;Q049Q385
1;Q050
1;Q055Q740Q870Q897
2;Q058
1;Q058Q668
32;Q059
1;Q059Q174Q668
1;Q059Q174Q668Q699Q897
1;Q059Q564Q793Q897
1;Q059Q660
6;Q059Q668
1;Q059Q668Q753
1;Q059Q669Q699
1;Q059Q753
1;Q059Q872
1;Q068
2;Q069
1;Q078
2;Q103
6;Q103Q174
1;Q103Q178Q742Q909
1;Q103Q183Q308Q740Q752
1;Q103Q699
1;Q133
3;Q158
1;Q158Q174
1;Q159Q669
6;Q160
1;Q160Q178
1;Q161
1;Q164
9;Q170
1;Q170Q174
1;Q170Q179
1;Q170Q870
1;Q172
1;Q172Q174
1;Q172Q302Q383
2;Q173
16;Q174
1;Q174Q178
1;Q174Q270Q668
1;Q174Q270Q897
1;Q174Q308
1;Q174Q359Q369
1;Q174Q369
1;Q174Q369Q379
1;Q174Q379
1;Q174Q549Q870
1;Q174Q556Q668Q681
1;Q174Q556Q897
1;Q174Q564Q681Q870
1;Q174Q665Q848Q909
2;Q174Q668
1;Q174Q668Q709Q738
2;Q174Q668Q897
1;Q174Q709
1;Q174Q743
2;Q174Q870
1;Q174Q870Q897
3;Q174Q897
1;Q174Q898
1;Q174Q909
2;Q175
1;Q175Q759
1;Q175Q909
9;Q178
1;Q178Q181
1;Q178Q308Q668
1;Q178Q423
1;Q178Q681
1;Q178Q719Q729
7;Q179
1;Q179Q189Q668
1;Q179Q380Q713Q742
4;Q181
1;Q187Q359
2;Q188
6;Q189
1;Q189Q639
1;Q204
2;Q206
1;Q208
1;Q208Q248
1;Q210Q212Q221
1;Q210Q232Q254
1;Q234
1;Q246
4;Q248
1;Q248Q909
5;Q249
1;Q249Q359Q423Q613Q620
1;Q249Q423
1;Q249Q899
3;Q250
1;Q258Q268
27;Q270
1;Q270Q321Q390
1;Q270Q379Q549Q690
1;Q270Q549
1;Q270Q564
1;Q270Q668
1;Q270Q668Q794
1;Q270Q690
1;Q270Q792
1;Q278
1;Q279
1;Q300
1;Q301
1;Q301Q359Q369
1;Q301Q379
1;Q301Q668Q899
1;Q302Q359
1;Q308Q379
1;Q308Q668Q759
1;Q308Q872
1;Q321Q390
1;Q336
1;Q336Q423Q601Q669Q681
1;Q336Q602
1;Q336Q658Q668
1;Q353Q360
1;Q357Q379
21;Q359
1;Q359Q360
9;Q359Q369
1;Q359Q369Q560Q641
1;Q359Q369Q668Q690
1;Q359Q369Q699
3;Q359Q379
1;Q359Q380
1;Q359Q549
1;Q359Q549Q678Q753
1;Q359Q668
1;Q359Q681Q699
1;Q359Q685Q728
1;Q359Q743
1;Q359Q758Q792
1;Q359Q760
1;Q359Q897
1;Q359Q909
1;Q360
11;Q369
4;Q369Q379
1;Q369Q379Q690
1;Q369Q668
1;Q370
7;Q379
1;Q379Q665Q749
1;Q379Q668
1;Q379Q753
5;Q380
1;Q383
1;Q385
1;Q386
2;Q390
1;Q398
6;Q423
2;Q423Q564
1;Q423Q564Q668
1;Q423Q564Q668Q792
1;Q423Q699
1;Q423Q753
1;Q435
2;Q436
1;Q438
2;Q439
1;Q523
2;Q526
1;Q527Q564
1;Q528Q563Q564
1;Q528Q764
1;Q529
1;Q530Q668
1;Q530Q792
6;Q531
1;Q531Q792
8;Q532
1;Q532Q555Q644
1;Q532Q564
12;Q539
1;Q539Q601Q668
1;Q539Q668
1;Q539Q669
1;Q539Q793
5;Q541
2;Q548
76;Q549
1;Q549Q672
4;Q550
1;Q550Q556Q954
1;Q550Q564
2;Q552
1;Q556
1;Q558
1;Q558Q678Q752
1;Q560
1;Q561
1;Q562
1;Q563
11;Q564
1;Q564Q668Q682
1;Q564Q668Q913
1;Q564Q700Q709Q897Q913
1;Q564Q728Q740
1;Q564Q792
3;Q564Q897
1;Q601
1;Q602
1;Q606
2;Q606Q668
1;Q613Q642
1;Q613Q668
3;Q620
1;Q622
1;Q622Q647
1;Q639
3;Q640
1;Q649
1;Q650
1;Q652
12;Q660
1;Q661Q668
11;Q664
4;Q665
1;Q666
82;Q668
1;Q668Q690Q897
1;Q668Q716
1;Q668Q718
1;Q668Q753
1;Q668Q764
1;Q668Q897
25;Q669
1;Q669Q678
1;Q669Q681
2;Q674
1;Q678
1;Q680
4;Q681
9;Q682
1;Q682Q748
1;Q685
1;Q685Q753
4;Q688
113;Q690
1;Q690Q699
1;Q690Q913
3;Q691
1;Q692Q709
103;Q699
1;Q699Q703
1;Q699Q709
1;Q699Q740Q742
1;Q700
1;Q701
1;Q701Q703
1;Q702
1;Q704
12;Q709
3;Q713
5;Q718
1;Q718Q753
1;Q719
1;Q719Q729
1;Q719Q768
1;Q720
1;Q722
1;Q723
2;Q728
1;Q730
1;Q738
5;Q740
1;Q740Q742
1;Q740Q753
1;Q740Q793
6;Q741
8;Q742
2;Q748
2;Q749
1;Q750
2;Q752
15;Q753
4;Q758
4;Q759
1;Q764
1;Q768
2;Q774
1;Q788
6;Q790
1;Q790Q792
11;Q792
1;Q792Q910
25;Q793
2;Q794
3;Q795
2;Q798
2;Q799
1;Q804
1;Q808
1;Q818
1;Q828
2;Q833
1;Q839
1;Q846Q897
1;Q862
2;Q870
1;Q871
3;Q878
1;Q894
34;Q897
2;Q897Q909
1;Q897Q917
7;Q898
12;Q899
2;Q902
43;Q909
1;Q929
2;Q999
