count;codanomal
1;Q870
5;Q02X
2;Q435
1;Q336
1;Q059Q681
1;Q878
1;Q539Q664
1;Q103Q174Q188Q385Q681
1;Q678
2;Q774
1;Q103Q174Q838
1;Q528
7;Q160
2;Q359Q380
1;Q042Q208
1;Q436Q523Q669Q768Q839
4;Q369
3;Q174
1;Q183Q740Q742Q753
3;Q173
47577;NA
1;Q794
1;Q182
3;Q795
1;Q383
1;Q173Q183Q768
1;Q178
1;Q308
1;Q620
1;Q181
1;Q172
6;Q909
1;Q651
2;Q049
1;Q699Q740Q838Q842
1;Q002
1;Q386
1;Q674Q738Q897
2;Q436
1;Q532
1;Q564Q668
1;Q371Q690
1;Q039Q159Q178Q359Q380
5;Q206
2;Q670
9;Q669
1;Q218
1;Q681Q752
1;Q188Q792
1;Q556
1;Q175
1;Q360
7;Q709
1;Q712
1;Q158Q174Q308Q382Q681
1;Q897
1;Q183Q639
4;Q380
1;Q258
1;Q019Q159Q669Q792
1;Q692
1;Q178Q669Q795
1;Q219
8;Q039
1;Q112
1;Q560Q838
2;Q790
21;Q690
2;Q353
1;Q359Q681
1;Q825
3;Q792
1;Q064
1;Q649
1;Q381Q660
1;Q645
1;Q211Q250Q254
32;Q699
1;Q700
1;Q183Q669Q740Q742
1;Q211Q234
5;Q381
1;Q541
2;Q748
1;Q559
8;Q270
1;Q353Q380
8;Q000
1;Q158Q669Q728Q758Q838
6;Q059
1;Q668Q748
1;Q401
1;Q920
1;Q179
2;Q704
1;Q158Q174Q308Q681Q828
1;Q174Q838
7;Q359
1;Q039Q638Q678
1;Q061
1;Q158Q178Q669Q838
3;Q549
1;Q899
1;Q159Q178Q308
1;Q019Q308Q383Q658
3;Q548
1;Q728
1;Q768
1;Q749Q753
2;Q713
13;Q668
1;Q675
1;Q056
1;Q208
5;Q665
1;Q053Q059
1;Q640
1;Q038
1;Q560Q669Q759Q790
1;Q249
3;Q682
3;Q379
1;Q178Q359Q380Q709
1;Q174Q188Q385
1;Q174Q661
2;Q558
1;Q189
1;Q872
1;Q178Q838
1;Q753
1;Q158Q188Q899
1;Q809
2;Q691
8;Q664
1;D180
1;Q173Q308
1;Q02XQ159Q173Q308Q556
2;Q731
2;Q752
11;Q793
1;Q606
1;Q174Q709
9;Q660
1;Q531
2;Q530
3;Q423
3;Q681
1;Q234
1;Q174Q385
2;Q638
2;Q283
1;Q174Q183Q386Q564Q664
