count;codanomal
2;D180
152360;NA
18;Q000
1;Q000Q019Q359Q669Q681
1;Q000Q019Q374Q713Q749
1;Q000Q790
2;Q012
1;Q012Q02X
1;Q012Q897
1;Q018Q02XQ380
1;Q018Q059
2;Q019
1;Q019Q038Q249Q913
1;Q019Q070
1;Q019Q913
4;Q02X
1;Q02XQ038Q909
1;Q02XQ043
1;Q02XQ189Q422Q690
1;Q02XQ302
1;Q02XQ309Q359Q769
1;Q02XQ564
1;Q031
1;Q031Q330
4;Q038
1;Q038Q039Q107Q172Q897
1;Q038Q403Q618Q668
1;Q038Q790
19;Q039
1;Q039Q040Q359
1;Q039Q042
1;Q039Q043
2;Q039Q059
1;Q039Q249Q668
1;Q039Q359
1;Q039Q359Q743
1;Q039Q428
1;Q039Q681Q709Q712Q759
1;Q039Q898
1;Q039Q909
1;Q040Q046Q048
1;Q040Q049
1;Q040Q613
1;Q042
1;Q042Q359Q699
1;Q048
1;Q048Q410Q909
4;Q049
1;Q049Q248
1;Q049Q336
1;Q049Q729Q897
1;Q049Q753
1;Q050Q898
1;Q053Q058Q351Q660
1;Q054
2;Q055
1;Q057
2;Q058
14;Q059
1;Q059Q064
2;Q059Q070
1;Q059Q666
1;Q059Q668
1;Q059Q669Q913
1;Q059Q743
1;Q059Q898
1;Q061Q189Q719Q729Q743
1;Q069Q070
1;Q070
1;Q079Q559Q668
1;Q103
1;Q103Q383Q828
1;Q103Q660
1;Q111Q300Q318Q378Q423
1;Q112Q378Q699
1;Q158
9;Q160
1;Q160Q170
1;Q160Q300Q674
1;Q160Q378Q661
1;Q161
1;Q163Q179
3;Q169
1;Q169Q668Q681
7;Q170
2;Q173
1;Q173Q872
1;Q174Q183
1;Q174Q308Q436Q674Q699
1;Q174Q359Q380Q552Q699
2;Q174Q664Q681
1;Q174Q709
1;Q174Q870
1;Q174Q898
4;Q178
1;Q178Q182Q382Q681Q909
6;Q179
1;Q179Q181
1;Q179Q189Q669Q769Q898
1;Q179Q210Q336
1;Q179Q336Q532Q556Q605
1;Q179Q378Q675Q749
1;Q179Q379
1;Q179Q382Q752
