count;codanomal
1;D180Q564
206582;NA
18;Q000
2;Q000Q059
1;Q000Q308Q564Q870
1;Q000Q668
1;Q000Q897
6;Q019
1;Q019Q02XQ133Q270Q668
1;Q019Q359Q740
7;Q02X
1;Q02XQ030Q038Q128Q158
1;Q02XQ040Q042Q069Q158
1;Q02XQ249
1;Q02XQ613
3;Q031
1;Q031Q039Q248Q379Q564
1;Q031Q539Q668Q688Q870
1;Q031Q742
1;Q031Q753
1;Q031Q753Q758
1;Q038Q174Q230Q668Q681
1;Q038Q718Q728
26;Q039
1;Q039Q040Q209
3;Q039Q059
1;Q039Q059Q070
1;Q039Q170
1;Q039Q174Q681Q748Q878
1;Q039Q300
1;Q039Q361Q678
1;Q039Q378
1;Q039Q549
1;Q039Q602Q647Q872
1;Q039Q665
1;Q040
1;Q042Q369Q699Q792
1;Q042Q753
1;Q042Q897Q917
2;Q043
1;Q046
1;Q046Q079
1;Q046Q339Q439Q559Q606
1;Q048
1;Q049
1;Q049Q169
1;Q049Q189
1;Q049Q189Q249
1;Q056Q069
1;Q057Q668
2;Q058
26;Q059
2;Q059Q070
1;Q059Q111Q664Q665Q699
1;Q059Q213Q792
1;Q059Q558
1;Q059Q564Q792Q878
1;Q063
2;Q068
2;Q069
1;Q069Q336Q614Q729
6;Q070
1;Q078
2;Q079
1;Q103Q174
1;Q103Q174Q188Q758Q798
1;Q103Q174Q382
1;Q103Q174Q383
1;Q103Q178Q828Q870Q909
1;Q103Q309
1;Q103Q742
1;Q103Q748
1;Q103Q828
1;Q106Q174Q383Q681Q898
1;Q111Q159
1;Q111Q359Q369
1;Q112
1;Q112Q843
1;Q133
1;Q158
1;Q158Q359Q668
1;Q159
1;Q159Q160Q740
1;Q159Q173Q189
1;Q159Q174Q249Q383
1;Q159Q174Q383
1;Q159Q174Q678Q681
1;Q160
1;Q161Q170Q423
1;Q169Q173Q308Q385
10;Q170
1;Q170Q181
1;Q170Q270
1;Q173Q174Q270Q385Q752
1;Q173Q423Q564Q668Q678
1;Q173Q699
1;Q173Q898Q909
4;Q174
1;Q174Q183Q188Q382Q678
1;Q174Q188Q383Q556Q709
1;Q174Q240Q899
1;Q174Q249
1;Q174Q270
1;Q174Q549Q676Q748
1;Q174Q668
1;Q174Q668Q674
1;Q174Q674Q758
1;Q174Q681Q781
1;Q174Q690
1;Q174Q699
1;Q174Q742Q764
1;Q174Q752Q795
1;Q174Q758
1;Q174Q759
1;Q174Q870
1;Q174Q878
1;Q174Q909
11;Q178
1;Q178Q179
1;Q178Q188Q359
1;Q178Q189Q669Q774
1;Q178Q668
1;Q178Q668Q674Q999
1;Q178Q758
1;Q178Q898
13;Q179
1;Q179Q189
1;Q179Q724
1;Q183
1;Q188Q758
5;Q189
1;Q189Q248
1;Q189Q668Q688
1;Q189Q669Q681
1;Q189Q685
1;Q189Q768Q799
1;Q200Q208Q234
3;Q203
1;Q206
4;Q208
1;Q208Q249
1;Q209
1;Q210
1;Q210Q238Q251
1;Q210Q309
1;Q211Q212Q234Q248
1;Q211Q251
3;Q213
1;Q213Q359Q749
1;Q218
1;Q218Q224Q226
1;Q219Q390Q790
1;Q220
1;Q220Q223Q225Q249
1;Q225
1;Q226
1;Q230
1;Q234
1;Q239Q719Q723
1;Q246
5;Q248
1;Q248Q251
1;Q248Q564Q749
1;Q248Q790
30;Q249
1;Q249Q256
1;Q249Q336Q602
1;Q249Q668Q669
1;Q249Q759
4;Q249Q909
3;Q251
13;Q270
1;Q270Q359Q561Q752
1;Q270Q359Q749
1;Q270Q423
2;Q278
2;Q279
1;Q289Q759Q799
2;Q302
1;Q308Q752
1;Q309Q359
1;Q309Q668Q829
1;Q319
1;Q330Q423Q610Q764
1;Q332
2;Q336
1;Q336Q532Q619
1;Q336Q601
1;Q336Q602Q606Q613Q668
1;Q336Q613Q614
1;Q336Q758Q828
1;Q336Q790
1;Q338
1;Q348
1;Q348Q669
1;Q351
1;Q355Q381Q386
16;Q359
2;Q359Q360
1;Q359Q360Q699
8;Q359Q369
1;Q359Q369Q549
1;Q359Q369Q848
3;Q359Q380
1;Q359Q383Q674
1;Q359Q792Q878
1;Q359Q793Q897
4;Q360
10;Q369
2;Q369Q379
1;Q369Q532Q690
1;Q369Q648Q748
1;Q371
1;Q372
1;Q373
1;Q374Q378
1;Q375Q423
1;Q378
12;Q379
1;Q379Q556Q699Q709
2;Q380
1;Q380Q748
8;Q381
1;Q381Q383
1;Q381Q386Q742
1;Q382Q909
1;Q383Q668Q898
1;Q385
1;Q386
7;Q390
1;Q390Q795
1;Q391
1;Q391Q429Q541
1;Q403
1;Q409
4;Q410
1;Q410Q909
1;Q418
1;Q420Q898
7;Q423
1;Q423Q522Q528
1;Q423Q564Q614
1;Q423Q564Q664Q793
1;Q423Q668Q713
1;Q429Q649Q795
1;Q429Q729
2;Q435
1;Q436
1;Q438
2;Q439
1;Q447Q611
1;Q459
1;Q519
1;Q524
1;Q528
1;Q529
1;Q529Q641
1;Q529Q749Q759
8;Q531
7;Q532
1;Q532Q549
1;Q532Q759
16;Q539
1;Q539Q552
1;Q539Q558Q668Q669
1;Q539Q602
1;Q539Q669
1;Q539Q688Q766
2;Q540
2;Q541
2;Q548
1;Q548Q549
58;Q549
1;Q549Q668
1;Q549Q753
1;Q549Q764
5;Q552
1;Q556
1;Q556Q690Q758Q848
2;Q558
3;Q559
8;Q564
1;Q564Q647
1;Q564Q718Q933
2;Q564Q897
1;Q600
1;Q601
2;Q606
1;Q610
3;Q613
2;Q620
1;Q638
4;Q639
2;Q640
1;Q641
1;Q647
2;Q650
1;Q653
1;Q659
1;Q659Q709
7;Q660
1;Q660Q700Q730
3;Q661
2;Q663
1;Q663Q668Q669Q741
3;Q664
8;Q665
1;Q666
68;Q668
1;Q668Q681Q682
1;Q668Q681Q709
1;Q668Q709
1;Q668Q729
1;Q668Q738
1;Q668Q742
1;Q668Q743
1;Q668Q764Q792Q897
21;Q669
1;Q669Q690
1;Q669Q729
1;Q669Q753
1;Q670
2;Q674
2;Q675
1;Q678Q718Q728Q753
6;Q681
1;Q681Q709
1;Q681Q748
15;Q682
4;Q688
1;Q688Q793
151;Q690
2;Q690Q692
1;Q690Q709
1;Q692
97;Q699
2;Q699Q709
1;Q700
1;Q701Q713Q728
3;Q704
12;Q709
1;Q709Q713
1;Q712
10;Q713
1;Q713Q718
1;Q713Q723
1;Q714
2;Q718
1;Q719
1;Q722Q793
1;Q723
1;Q729
5;Q740
3;Q740Q742
4;Q741
1;Q741Q748
4;Q742
2;Q743
3;Q748
1;Q748Q870
5;Q749
1;Q751
1;Q752
4;Q753
2;Q758
2;Q759
2;Q760
5;Q764
1;Q768Q828
1;Q769
2;Q771
1;Q774
2;Q779
1;Q789
14;Q790
2;Q790Q792
1;Q790Q793
1;Q790Q909
16;Q792
1;Q792Q897
1;Q792Q909
56;Q793
4;Q795
1;Q798
7;Q799
1;Q809
1;Q810
1;Q818
1;Q820
1;Q828
2;Q833
1;Q838
1;Q842
5;Q870
3;Q878
1;Q893
2;Q894
29;Q897
1;Q897Q913
6;Q898
10;Q899
44;Q909
5;Q913
1;Q929
1;Q969
1;Q978
2;Q999
