count;codanomal
1;Q550
4;Q870
1;Q642
1;Q438
3;Q02X
1;Q435
2;Q685
1;Q054
1;Q878
1;Q668Q740Q838
1;Q668Q681Q714
1;Q378
1;Q010Q018Q371
1;Q160
1;Q040Q043Q681Q709Q728
2;Q742
1;Q402
1;Q079
1;Q359Q380
1;Q178Q690
4;Q369
3;Q174
1;Q212Q909
1;Q173
1;Q174Q423Q564
43691;NA
1;Q795
1;Q288
1;Q101
2;Q383
1;Q038Q040
1;Q432
3;Q178
3;Q741
1;Q764
1;Q620
1;Q564Q678Q795
1;Q181
19;Q909
1;Q049
1;Q059Q668Q742
1;Q563
1;Q174Q753
1;Q439
1;Q386
1;Q321
1;Q000Q048Q188
1;Q799
1;Q549Q778
1;Q539
1;Q529
2;Q670
1;Q174Q373
6;Q669
1;Q174Q369
1;Q270Q668
1;Q059Q208Q668
1;Q602
1;Q549Q558
1;Q063
1;Q249Q336
3;Q564
2;Q709
1;Q174Q248
1;Q02XQ174Q248Q373
1;Q390
1;Q178Q749Q753Q897
1;Q897
1;Q361Q713
1;Q209Q390
1;Q161Q360Q370Q422
2;Q688
1;Q709Q748
3;Q170
5;Q380
7;Q039
3;Q661
2;Q373
14;Q690
3;Q790
2;Q701
1;Q359Q369
1;Q371
16;Q699
2;Q894
1;Q183Q668Q909
1;Q213Q249Q909
1;Q203Q249
1;Q700Q748
1;Q458
1;Q700
1;Q749
1;Q439Q529Q688Q898
1;Q559
2;Q270
1;Q780
10;Q000
1;Q699Q709
1;Q564Q669Q681
6;Q059
1;Q378Q539Q793
2;Q560
1;Q02XQ909
2;Q663Q709
1;Q179
6;Q999
1;Q652
1;Q673
3;Q359
1;Q078
1;Q709Q753Q758
1;Q438Q549Q671
1;Q248
6;Q549
1;Q663
1;Q158
1;Q336Q613Q620
4;Q899
26;Q668
2;Q675
2;Q208
1;Q059Q668Q748
1;Q501
1;Q188
5;Q665
1;Q640
1;Q652Q676
1;Q249
1;Q038
1;Q174Q308
1;Q182Q370
1;Q690Q700
5;Q379
1;Q423Q909
1;Q564Q716
2;Q019
1;Q564Q688
2;Q872
1;Q178Q668
1;Q753
1;Q672
1;Q174Q213
3;Q664
1;Q270Q379
1;Q049Q249Q639
2;Q050
1;Q019Q02XQ371
1;Q308Q351Q369
1;Q549Q669
5;Q793
1;Q209
5;Q660
1;Q373Q380
1;Q042Q112
1;Q531
2;Q552
1;Q174Q383
3;Q423
1;Q179Q183
4;Q681
1;Q639
1;Q559Q660Q682
1;Q039Q556
