count;codanomal
5;Q02X
1;Q02XQ174Q668Q752
1;Q878
1;Q660Q872
1;Q774
1;Q378
1;Q160
1;Q181Q709
1;Q742
2;Q422
2;Q369
2;Q174
1;Q248Q338Q613Q641Q678
26814;NA
1;Q189Q359Q669
1;Q743
1;Q302Q663Q681
1;Q178
1;Q741
1;Q620
1;Q764
1;Q201Q210Q221
2;Q181
1;Q172
9;Q909
1;Q225
2;Q539
1;Q357
1;Q692Q702
1;Q302
1;Q564Q897
1;Q670
4;Q669
1;Q749Q793
1;Q225Q250
1;Q210Q224
1;Q526
1;Q564
7;Q709
1;Q000Q675Q714Q715
1;Q250
1;Q042
1;Q180
1;Q390
1;Q302Q438Q752
1;Q159
1;Q380
3;Q170
1;Q898
1;Q678Q740
5;Q039
1;Q661
1;Q224Q257
7;Q690
1;Q174Q532
2;Q792
1;Q039Q059
1;Q892
1;Q351
1;Q059Q668
17;Q699
1;Q524
5;Q270
1;Q039Q678Q771
1;Q419
1;Q160Q669
1;Q780
3;Q000
1;Q699Q709
1;Q374
6;Q059
1;Q170Q174
1;Q676
1;Q179
3;Q359
1;Q660Q681
1;Q549
2;Q899
2;Q548
1;Q133
2;Q713
8;Q668
1;Q759
2;Q665
1;Q640
1;Q038
2;Q249
1;Q682
4;Q379
1;Q158Q308Q359Q668Q681
1;Q189
1;Q210Q211Q250Q614Q620
1;Q872
1;Q753
1;Q809
3;Q664
1;Q731
2;Q043
1;Q674Q752
1;Q539Q668
1;Q158Q174Q249Q383
8;Q793
1;Q606
1;Q209
5;Q660
1;Q531
1;Q552
1;Q175Q178Q385Q909
1;Q018Q311
4;Q681
1;Q174Q749
1;Q861
1;Q000Q158Q355Q539
1;Q249Q359
1;Q359Q738
