count;codanomal
1;Q870
1;Q02X
1;Q829
1;Q371
1;Q664Q799
1;Q051
1;Q654
1;Q283Q891
2;Q378
2;Q699
1;Q372
1;Q742
1;Q458
1;Q174
1;Q552Q664
1;Q173
1;Q559
1;Q000
2;Q138
1;Q850
14517;NA
1;Q794
1;Q383
1;Q173Q303Q870Q933
1;Q999
1;Q179
1;Q178
4;Q181
1;Q019Q370Q664Q755
2;Q909
2;Q370
2;Q158
2;Q386
1;Q713
1;Q668
1;Q055Q103
1;Q799
1;Q666
3;Q665
1;Q564Q728
1;Q671
1;Q529
1;Q019
1;Q160Q370
2;Q669
3;Q189
1;Q872
1;Q169
1;Q447Q890
1;Q174Q681
5;Q664
1;Q02XQ664Q759
1;D180
1;Q02XQ661
1;Q758
1;Q550Q556
1;Q771
1;Q159
1;Q208Q224Q248Q249
3;Q793
3;Q660
2;Q898
4;Q039
1;Q740Q743
2;Q674
2;Q661
1;Q165
8;Q690
