count;codanomal
10;D180
1;D180Q660
133352;NA
18;Q000
1;Q000Q055Q678Q681
1;Q000Q107Q160Q301
1;Q011
1;Q012Q170Q270Q539Q549
2;Q018
4;Q019
1;Q019Q212Q351Q423Q963
1;Q019Q370Q379
4;Q02X
1;Q02XQ103Q174
1;Q02XQ112Q699Q917
1;Q02XQ174Q183Q718
1;Q02XQ178
1;Q02XQ359Q549Q564Q688
1;Q02XQ369Q713
1;Q02XQ742
1;Q031
1;Q031Q674
1;Q038
1;Q038Q040Q043Q753
9;Q039
1;Q039Q040Q043Q390
1;Q039Q042
1;Q039Q053
1;Q039Q668
1;Q042Q301Q556
1;Q042Q369
1;Q043
1;Q043Q283
1;Q045Q753
1;Q046
2;Q048
2;Q049
1;Q049Q059Q669
1;Q052
1;Q054
2;Q056
1;Q057
2;Q058
19;Q059
1;Q059Q208
1;Q059Q549Q663Q753
1;Q059Q564Q749Q795Q897
1;Q059Q641Q647Q738
1;Q059Q699
1;Q059Q897
1;Q078
4;Q079
1;Q100Q359Q759
1;Q103
1;Q103Q159Q179
1;Q103Q382Q828
1;Q103Q669
1;Q103Q752
1;Q111
1;Q111Q174Q668Q713Q723
1;Q112Q161Q172Q359Q558
1;Q133Q174Q248Q270Q369
2;Q150
1;Q158
1;Q159
1;Q159Q249Q359Q369Q690
5;Q160
1;Q160Q161Q379Q752
2;Q161
1;Q161Q178
1;Q161Q178Q249Q668Q758
1;Q161Q668
1;Q164
1;Q169Q359Q870Q897Q998
10;Q170
2;Q173
3;Q174
1;Q174Q249Q828
1;Q174Q270Q301Q359Q383
1;Q174Q359Q699Q752
1;Q174Q359Q759
1;Q174Q378Q690Q692
1;Q174Q382
1;Q174Q382Q909
1;Q174Q385Q670Q674Q690
1;Q174Q529Q669Q716
1;Q174Q539
1;Q174Q668
1;Q174Q674
1;Q174Q691Q713Q752Q878
1;Q174Q709
1;Q174Q749
9;Q178
1;Q178Q270
1;Q178Q359
1;Q178Q668Q699Q795
1;Q178Q690
4;Q179
2;Q179Q189
1;Q179Q249
1;Q179Q379
1;Q179Q385Q564Q740
1;Q179Q668Q740
1;Q181
1;Q182
1;Q183Q336Q423Q564Q601
3;Q188
5;Q189
1;Q201
1;Q201Q203Q224
2;Q203
1;Q203Q204Q208Q210
1;Q205
1;Q206
3;Q208
5;Q209
1;Q209Q221Q250
3;Q210
1;Q211Q212Q231Q250Q909
1;Q212
1;Q212Q213
2;Q212Q909
9;Q213
1;Q213Q220
1;Q213Q256
1;Q213Q338
1;Q213Q541
1;Q213Q909
2;Q220
1;Q220Q928
2;Q221
3;Q225
1;Q230
4;Q234
1;Q234Q249
7;Q248
44;Q249
1;Q249Q349
1;Q249Q379Q380Q897
1;Q249Q437Q639Q659Q749
1;Q249Q549Q909
1;Q249Q669
1;Q249Q792
1;Q249Q899
1;Q249Q909
1;Q249Q913
5;Q251
1;Q251Q282Q897
1;Q251Q665Q913
1;Q251Q909
1;Q253
1;Q256
2;Q258
2;Q259
12;Q270
1;Q270Q359
1;Q270Q423
2;Q279
1;Q283
1;Q289
1;Q300Q390Q674
1;Q301
2;Q301Q759Q894Q897
2;Q309
1;Q309Q660
1;Q330
1;Q336
1;Q336Q532Q668Q794
1;Q336Q790
1;Q338
1;Q339Q639
1;Q341
1;Q351
12;Q359
6;Q359Q369
1;Q359Q380
1;Q359Q380Q549
1;Q359Q383
1;Q359Q605
2;Q360
1;Q360Q380
1;Q361
18;Q369
3;Q370
3;Q371
1;Q371Q728
2;Q373
3;Q374
4;Q375
3;Q378
19;Q379
1;Q379Q380
1;Q379Q674Q709
1;Q379Q878Q916Q917
5;Q380
1;Q381
1;Q382
2;Q383
1;Q385
6;Q390
1;Q390Q391
1;Q402Q438Q447Q678Q709
3;Q410
1;Q411
