count;codanomal
1;Q174Q188Q668
1;Q249Q668Q674Q740
1;Q683Q753
1;Q650
1;Q550Q690
2;Q550
1;Q669Q681
1;Q709Q718
1;Q379Q681
5;Q02X
1;Q353Q359Q459Q899
1;Q355Q380
1;Q252Q792
1;Q038Q043Q336Q393Q422
1;Q173Q385Q674Q709Q758
1;Q378
4;Q359Q380
7;Q369
1;Q179Q559
3;Q174
1;Q079Q541
2;Q564Q899
97196;NA
1;Q059Q179Q189Q669Q674
1;Q359Q390
1;Q348Q564Q699Q709
1;Q669Q749
4;Q181
1;Q563
1;Q059Q913
1;Q039Q040
1;Q112Q423Q549
1;Q039Q899
3;Q439
1;Q338Q390Q423
1;Q723
1;Q539
1;Q103Q174
1;Q749Q761
2;Q532
1;Q040Q046Q189Q379Q752
1;Q873
1;Q112Q160Q355Q383Q681
1;Q613
10;Q669
1;Q169
1;Q211Q213
2;Q602
1;Q02XQ359Q758Q897
3;Q917
1;Q063
3;Q564
1;Q031
6;Q709
1;Q601
1;Q614Q660
1;Q436Q898
1;Q411
1;Q897
1;Q210Q338Q379Q749
1;Q174Q189Q674
1;Q550Q681Q752
9;Q380
1;Q161Q179Q714Q838
1;Q669Q793
1;Q254
1;Q049Q699
1;Q258
3;Q898
2;Q107
1;Q169Q665
1;Q330
1;Q161
1;Q912
1;Q219
1;Q613Q620Q633
15;Q039
1;Q669Q674
7;Q213
1;Q174Q183Q668
1;Q642Q648Q668Q758Q898
1;Q165
12;Q661
1;Q012Q173Q524Q526Q648
1;Q336Q790Q899
3;Q353
1;Q210Q220
2;Q359Q369
1;Q359Q681
2;Q792
1;Q892
1;Q019Q02XQ528Q664Q699
1;Q039Q040Q748
4;Q700
1;Q338Q718Q728Q771
2;Q541
3;Q749
10;Q270
1;Q780
9;Q000
1;Q103Q183Q728
1;Q048Q620Q664
1;Q560
4;Q410
1;Q614
2;Q704
5;Q179
2;Q999
1;Q210Q212Q909
1;Q833
1;Q661Q668
1;Q379Q664
1;Q660Q668
1;Q668Q675
10;Q248
2;Q663
1;Q158
4;Q899
1;Q548
1;Q552Q556
1;Q178Q382Q799
1;Q270Q699
1;Q174Q308Q672
1;Q665
1;Q059Q423Q601
22;Q249
1;Q682
1;Q662
1;Q690Q700
1;Q042Q336Q423Q669Q681
1;Q039Q042
1;Q681Q709Q718Q766
1;Q300Q353Q361
1;Q742Q793
1;Q019Q02X
1;Q897Q913
1;Q753Q898
1;Q301
2;Q872
1;Q753
1;Q228
1;Q000Q039
1;Q809
1;Q012
10;Q664
1;Q048
3;D180
1;Q419Q793
1;Q043
1;Q369Q749Q759
1;Q526Q528
1;Q549Q669
2;Q752
3;Q103
1;Q659
1;Q539Q668
33;Q793
2;Q209
1;Q208Q911Q913
1;Q769
1;Q107Q249Q439Q969
1;Q042Q044
9;Q531
1;Q223Q709Q743
1;Q858
1;Q059Q669
