count;codanomal
1;Q870
1;Q423Q641Q649Q668
2;Q02X
1;Q188Q709
1;Q774
1;Q103Q674
1;Q039Q189Q539Q549
1;Q174Q672
1;Q188Q383Q793
1;Q270Q359Q369
9;Q369
3;Q174
1;Q059Q336Q359Q423Q564
1;Q375
32336;NA
1;Q668Q719Q729
1;Q794
1;Q174Q301
1;Q174Q674Q681
1;Q059Q564Q647Q792Q793
1;Q709Q713Q723
1;Q380Q699
1;Q161Q172
3;Q178
1;Q301Q379Q672Q743
1;Q741
1;Q174Q188Q674Q752Q828
1;Q221
1;Q249Q792
1;Q172
10;Q909
1;Q225
1;Q161Q165
1;Q321
1;Q042Q369
1;Q723
1;Q678Q719Q729Q770
1;Q799
1;Q359Q674
5;Q539
1;Q039Q668Q753
1;Q532
1;Q174Q564Q699
1;Q730
1;Q818
1;Q039Q170
1;Q668Q898
2;Q206
1;Q669
1;Q174Q369
1;Q549Q552
2;Q175
1;Q556
1;Q019Q178Q308
1;Q174Q188
8;Q709
2;Q031
4;Q564
1;Q188Q359
1;Q390
1;Q902
1;Q159
1;Q174Q188Q674Q909
2;Q380
10;Q170
1;Q161
1;Q059Q069Q308Q562Q716
6;Q039
3;Q658
2;Q213
1;Q459
5;Q661
1;Q174Q308Q758
30;Q690
1;Q02XQ112Q308
1;Q359Q369
1;Q101Q709
1;Q042Q564Q639Q999
2;Q059Q668
2;Q778
1;Q620Q795
1;Q605
1;Q000Q048
34;Q699
2;Q894
1;Q702
1;Q170Q178
1;Q103Q713Q848
1;Q749
3;Q748
1;Q270
1;Q524
1;Q359Q369Q690Q699
1;Q780
12;Q000
1;Q699Q709
1;Q02XQ078
5;Q059
1;Q174Q178Q380
1;Q690Q699
1;Q179
6;Q359
1;Q668Q843
1;Q713Q718Q723
1;Q248
14;Q549
1;Q158
1;Q899
1;Q740
1;Q012Q619Q668Q678Q729
31;Q668
1;Q103Q174Q564Q709
1;Q249Q422
1;Q666
5;Q665
1;Q668Q674Q898
3;Q249
2;Q682
1;Q379
1;Q019
1;Q212
1;Q713Q719
1;Q753
1;Q672
1;Q638Q699Q758
1;Q249Q379Q792
1;Q647Q792
1;Q765
2;Q012
9;Q664
1;Q043
1;Q039Q059Q248Q458Q668
1;Q752
5;Q793
4;Q660
1;Q039Q359Q681Q740
1;Q623
1;Q174Q740
1;Q103Q174Q558Q752Q828
1;Q174Q188Q768
1;Q531
1;Q552
1;Q530
1;Q103Q174Q188Q752
3;Q423
1;Q681
