count;codanomal
36;D180
1;D180Q079Q223
1;D180Q150
1;D180Q174Q386Q669Q730
2;D180Q381
1;D180Q381Q674Q751
1;D180Q690
2;D180Q829
1;D180Q872
575950;NA
47;Q000
1;Q000Q019
1;Q000Q019Q02XQ359
2;Q000Q02XQ308
1;Q000Q039
2;Q000Q049
1;Q000Q059Q270
1;Q000Q158Q165Q173Q379
1;Q000Q158Q309Q379
1;Q000Q159Q309Q380
1;Q000Q558Q699Q709
1;Q000Q560Q660
1;Q000Q564
1;Q000Q606Q897
1;Q000Q660
2;Q000Q758
1;Q000Q917
2;Q010
1;Q011
7;Q012
1;Q012Q039Q070Q210Q229
1;Q012Q039Q270Q793
1;Q012Q249
1;Q012Q336Q795
1;Q012Q600
1;Q012Q758
1;Q018
1;Q018Q050Q111
1;Q018Q211
9;Q019
1;Q019Q02XQ309Q752
1;Q019Q02XQ359Q613Q668
1;Q019Q042Q188Q240Q359
1;Q019Q447Q664Q890
82;Q02X
1;Q02XQ031Q753
1;Q02XQ038
2;Q02XQ039
2;Q02XQ040
1;Q02XQ042Q309Q385Q740
2;Q02XQ043
1;Q02XQ049Q674Q899
1;Q02XQ070
1;Q02XQ111Q369
1;Q02XQ112
1;Q02XQ112Q792
1;Q02XQ158Q690Q699Q792
1;Q02XQ159Q336Q564Q601
1;Q02XQ170
1;Q02XQ173Q556Q669Q749
1;Q02XQ174Q558Q718Q723
1;Q02XQ188
1;Q02XQ188Q258
1;Q02XQ189Q436Q561Q564
1;Q02XQ189Q652Q753
1;Q02XQ205Q611
1;Q02XQ234
1;Q02XQ248Q259Q664Q669
1;Q02XQ266Q638Q897
1;Q02XQ308Q690Q917
1;Q02XQ309Q564
1;Q02XQ359Q897
1;Q02XQ360Q690
1;Q02XQ380Q913
1;Q02XQ669
1;Q02XQ674
1;Q02XQ699
1;Q02XQ899
3;Q031
1;Q031Q039Q040Q200Q210
1;Q031Q039Q052Q059
1;Q031Q059
1;Q031Q113Q668
1;Q031Q161Q899
1;Q031Q200Q917
1;Q031Q213Q359Q699Q917
1;Q031Q249
1;Q031Q359
1;Q031Q556
1;Q031Q790
1;Q031Q909
12;Q038
1;Q038Q039
1;Q038Q039Q040
1;Q038Q039Q211
1;Q038Q040Q333
1;Q038Q043
1;Q038Q068Q070Q661
1;Q038Q068Q313Q661
1;Q038Q259
2;Q038Q558
51;Q039
2;Q039Q040
1;Q039Q040Q044
1;Q039Q040Q048Q160Q161
1;Q039Q040Q049Q078
1;Q039Q040Q055Q391Q792
1;Q039Q040Q078
2;Q039Q042
1;Q039Q043Q210
2;Q039Q046
1;Q039Q048Q158Q211
1;Q039Q054Q059
1;Q039Q054Q369Q699
3;Q039Q059
1;Q039Q059Q070
2;Q039Q059Q668
1;Q039Q069
1;Q039Q079
1;Q039Q112Q898
1;Q039Q160Q718
1;Q039Q174
1;Q039Q178
1;Q039Q178Q183Q185Q674
1;Q039Q189Q668Q699
2;Q039Q211
1;Q039Q211Q250
1;Q039Q211Q250Q392Q913
1;Q039Q211Q700Q709Q738
1;Q039Q213Q270Q369
1;Q039Q240
1;Q039Q248
2;Q039Q249
1;Q039Q283
