count;codanomal
1;Q174Q178Q183Q250Q270
2;Q550
2;Q870
1;Q183Q435Q548Q675
1;Q201Q210Q250Q258
1;Q02X
1;Q435
1;Q383Q752
2;Q378
1;Q02XQ173
1;Q160
1;Q202Q206Q211Q220Q224
1;Q042Q043
1;Q249Q359Q379Q551Q556
1;Q040Q174Q254Q709Q899
1;Q200Q210Q221
5;Q369
1;Q174
1;Q039Q048Q378Q532Q769
1;Q173
1;Q210Q220Q250
1;Q174Q524Q716
24192;NA
1;Q178
1;Q170Q669
1;Q181
2;Q909
1;Q039Q054
1;Q613Q620
1;Q174Q753
1;Q173Q690
1;Q057Q669
1;Q539
1;Q220Q232
1;Q173Q748
1;Q039Q699Q709
1;Q059Q539
2;Q670
1;Q339
1;Q178Q674
5;Q669
1;Q359Q898
1;Q539Q541Q791
1;Q169
1;Q699Q759
1;Q556
1;Q564
4;Q709
2;Q250
1;Q180
1;Q771
2;Q897
1;Q690Q793
1;Q174Q532Q656Q659Q838
1;Q380
1;Q221Q250
1;Q178Q435
2;Q211
1;Q107
1;Q219
1;Q564Q748Q758
4;Q039
1;Q249Q897
3;Q674
1;Q658
1;Q057
1;Q838
1;Q055
3;Q661
1;Q373
3;Q790
1;Q112Q674
7;Q690
2;Q173Q178
1;Q301Q549Q668Q681
1;Q209Q249
1;Q000Q060
1;Q792
1;Q619
1;Q249Q909
1;Q068
34;Q699
1;Q158Q179Q752
3;Q749
1;Q355Q371
3;Q000
1;Q628
1;Q000Q049
1;Q02XQ174
1;Q059
1;Q255
1;Q250Q339
1;Q401
1;Q999
3;Q179
1;Q614
1;Q039Q664
2;Q359
1;Q201
1;Q178Q435Q661
4;Q549
1;Q359Q361
1;Q663
2;Q899
1;Q548
7;Q668
1;Q208
1;Q205Q790
1;Q831
4;Q665
2;Q640
3;Q249
1;Q682
1;Q039Q753
1;Q620Q665Q678Q758
1;Q563Q564Q749Q750
1;Q753Q758
5;Q379
1;Q211Q250
1;Q249Q359Q369
1;Q019
1;Q558
1;Q189
1;Q301
1;Q336Q601
2;Q753
1;Q210Q211Q212Q250Q909
4;Q664
1;Q043
1;Q336Q790
1;Q670Q674Q680Q738Q753
1;Q103Q174Q179Q309Q842
1;Q039Q203
1;Q234Q336Q423Q539Q790
3;Q793
1;Q709Q799
6;Q660
1;Q111Q174Q359
1;Q000Q661
3;Q531
1;Q059Q669
1;Q039Q043Q211Q233
3;Q681
1;Q549Q749
1;Q234
1;Q630Q660Q718
1;Q039Q042Q111Q211Q359
1;Q059Q660
